"names","values"
"migrant",91.099802763184
"job",41.4099132775345
"treatment",25.6695344123009
"leave",24.9604854467361
"employer",22.6672566255793
"law",19.9127045562309
"change",16.7697993726542
"fifa",15.5293346432882
"improve",14.3869929409775
"foreign",13.3882074849762
"ilo",12.6281377249352
"million",11.3240081685362
"introduce",11.3240081685362
"condition",10.7087992773313
"ensure",10.7087992773313
"construction",9.56933124933221
"complaint",9.56933124933221
"group",8.70093582866139
"world",8.22400306842337
"cup",7.8712601637535
"salary",7.81763689899799
"system",7.70159555881492
"organiser",7.32950591768167
"call",6.94521830664416
"wage",6.94521830664416
"force",6.94521830664416
"company",6.89670477569689
"abuse",6.81328474587917
"labour",6.39619539801151
"year",6.0248496300328
"region",5.83577074951427
"require",5.16356514187191
"qatar's",5.15675232404556
"amnesty",5.15675232404556
"tournament",5.12530209916531
"build",5.06184841367758
"time",4.60776965321202
"infantino",3.96325242850799
"country",3.66759237030237
"pay",3.48744195577365
"qatari",3.40409300206375
"jazeera",3.34150709021924
"unite",2.9507609815555
"issue",2.77340088921756
"government",2.61587619559032
"president",2.42468119688874
"work",2.21744169937847
"reform",2.06532770730155
"progress",1.89591122057936
"middle",1.76044414523494
"sheikh",1.76044414523494
"supreme",1.76044414523494
"qatar",1.74579137572437
"make",1.69876825724896
"add",1.69876825724896
"al",1.68550789517849
"arab",1.67896450793069
"include",1.52900703328578
"decision",1.44823324147183
"game",1.44823324147183
"ty",1.15224989661783
"sport",1.15224989661783
"day",0.875545647468243
"delivery",0.875545647468243
"economic",0.875545647468243
"back",0.875545647468243
"expansion",0.875545647468243
"event",0.806334412846809
"address",0.699163769502775
"international",0.662403217717838
"nation",0.646918663724136
"state",0.631507270923066
"host",0.596983766500671
"stadium",0.582532245805851
"report",0.566502623914857
"follow",0.461640756685483
"place",0.456504309915545
"minister",0.456504309915545
"project",0.282466102743456
"legacy",0.271638025733409
"early",0.271638025733409
"part",0.250359163784196
"process",0.250359163784196
"provide",0.250359163784196
"committee",0.176677306606507
"continue",0.146281267192535
"people",0.11379090864466
"govern",0.11379090864466
"doha",0.108084381196022
"statement",0.0698338299798706
"body",0.0661644707488449
"gulf",0.0568260509944594
"ban",0.0554058704155977
"football's",0.0554058704155977
"wednesday",0.0554058704155977
"meet",0.0514197545189745
"support",0.0514197545189745
"football",0.0490369301560349
"end",0.00614527318066393
"announce",0.00614527318066393
"accord",0.00614527318066393
"increase",0.00614527318066393
"thawadi",0.00614527318066393
"month",0.00333810821757652
"human",0.000393802449252689
"gianni",NA
"expand",NA
"asian",NA
"plan",NA
"diplomatic",NA
"team",NA
"june",NA
"emirate",NA
"uae",NA
"bahrain",NA
"saudi",NA
"arabia",NA
"kuwait",NA
"east",NA
"afc",NA
"bid",NA
