"names","values"
"charge",9.3251489383656
"world",9.10790867314927
"allegation",8.4838661966005
"russia",5.51235278975219
"govern",5.05100009222588
"zurich",5.05100009222588
"cup",4.82636262151891
"prosecutor",4.5046082187846
"body",4.02731048774604
"qatar's",4.02731048774604
"qatar",3.50864745760327
"arrest",2.89773740463488
"bribery",1.87641976922259
"blatter",1.858288157272
"award",1.65609986235813
"week",1.5889135167572
"football",1.47213187239413
"country",1.34256201470453
"bid",1.30460966621877
"fifa",1.26106642503828
"report",1.15201502659056
"case",1.13023190237072
"vote",0.94652424220385
"committee",0.886545215605565
"al",0.787253524552852
"investigation",0.771540866090618
"official",0.66715361584238
"president",0.426030996201916
"host",0.150256279114728
"executive",0.150256279114728
"year",0.1249363548377
"include",0.1249363548377
"criminal",0.1249363548377
"announce",0.1249363548377
"process",0.0690767862015491
"swiss",0.0388802562956698
"worker",0.030658282157674
"wednesday",0.016655738969348
"statement",0.00338255432097867
"question",0.00338255432097867
"tournament",0.00338255432097867
"court",NA
"ibhais",NA
"sc",NA
"jazeera",NA
"bribe",NA
"part",NA
"authority",NA
"work",NA
"office",NA
"platini",NA
