"names","values"
"hotel",20.1299843005022
"zone",14.3863231269302
"match",9.54872929689918
"price",8.48242280568365
"tournament",8.45132179246821
"culture",7.91669571579223
"sale",7.55352387869971
"drink",7.22176919562844
"world",6.79606515349496
"qatar",6.79606515349496
"cup",5.63899163647284
"fan",5.36188592024882
"conservative",4.88884825415016
"country",3.12857650767364
"sell",2.60920521518847
"organiser",2.43130038061736
"decision",2.16435463420703
"place",2.16435463420703
"public",2.16435463420703
"budweiser",1.91874402732856
"qatari",1.3189469378508
"issue",1.23218386969893
"supporter",0.967360956821267
"good",0.527453310428427
"stadium",0.508254701767328
"make",0.411048217570624
"football",0.343859603279725
"host",0.300312427058088
"deal",0.19012780507046
"win",0.131179723770401
"beer",0.11329229460398
"guardian",0.108938399566796
"day",0.0672578473499925
"law",0.0178158024577897
"fifa",3.48076468981162e-05
"report",NA
"year",NA
"journalism",NA
"pitch",NA
"support",NA
"people",NA
