,Unnamed: 0,Unnamed: 0.1,date,title,main_content,ID
10,14,14,13 December 2022,eu corruption scandal mep denies bribery seized,greek mep eva kaili denied involvement alleged bribery scandal involving host european parliament one four suspects charged belgian investigators found two homes suitcase meps voted one strip ms kaili role one vice presidents parliament leader roberta metsola spoken difficult days european democracy denied wrongdoing eva kaili declares innocence nothing bribery lawyer michalis dimitrakopoulos told greek tv tuesday uncontested evidence added later statement every move contact statement made eva kaili regarding made execution application official policy european union prosecutors carried string searches several days cash worth found home one suspect flat mep suitcase brussels hotel room belgian police released photo tuesday showing piles notes denominations sources found ms kaili flat asked true lawyer idea money found much found suspects arrested belgian police charged participation criminal organisation money laundering corruption prosecutors sunday appear pre trial court wednesday allegations cast shadow role lobby groups european parliament recommendation allow visa free travel eu qataris set voted meps week shelved searches taken place italy well brussels since friday resources parliamentary employees frozen prevent disappearance data necessary investigation parliament sitting strasbourg voted overwhelmingly tuesday strip ms kaili role vice president door office parliament building sealed notice saying access forbidden also suspended parliament socialists democrats group expelled greek centre left pasok party greek authorities frozen assets belonging husband immediate family members activities property company set two weeks ago mep partner athens also frozen six people detained friday part investigation allegations bribed eu officials win influence two later released three others accused italian citizens ms kaili partner francesco giorgi parliamentary assistant among reportedly charged former mep pier antonio panzeri runs human rights group fight impunity also among four sources say wife daughter also reportedly arrested mr giorgi formerly worked parliamentary assistant suspect according italian news agency ansa niccol figa talamanca runs lobby group peace without justice housed building rue ducale brussels european quarter head general secretary international trade union confederation luca visentini questioned later released later able answer questions put bbc brussels correspondent jessica parker says details released belgian authorities last days left many people jaws floor eu circles meps spoke correspondent shocked scale blatancy accusations ms metsola ahead vote strip ms kaili leading role parliament european democracy attack free democratic societies attack parliament would everything could fight corruption added tuesday impunity sweeping carpet watchdogs meps bribery investigation could represent one biggest corruption scandals parliament history prosecutors suspected gulf state influencing economic political decisions parliament several months especially targeting aides although reports widely named state qatari government claims misconduct gravely misinformed ms kaili responsibilities vice president included middle east last month colleagues drew attention human rights violations gave effusive speech parliament praising hosting role frontrunner labour rights addressing debate parliament tuesday eu home affairs commissioner ylva johansson initial presumption innocence serious criminal investigation anyone accepting payoffs kickbacks bribes say shame violating trust people europe green mep daniel freund heads cross party anti corruption group told bbc parliament reasonably good lobby transparency rules third countries like excluded think third countries go lobby register european parliament eu directly elected institution members parliament elected voters nations make eu meet scrutinise proposed legislation vote european law meps generally enjoy immunity prosecution cases member found act committing offence parliament says four charged eu parliament corruption case top mep arrested alleged bribery gulf state,14
11,16,16,12 December 2022,dave cat coming home england,three lions roar victory new member squad coming home fleet footed dave cat swapping qatari warmth english chill time january transfer window purring predator hearts players unofficial mascot originally would bring stray dave back trophy decided rehome anyway despite quarter final heartbreak manchester city duo john stones kyle walker dave biggest posting regular updates pictures cat evenings first day got dave pops stones every night sat waiting food one day adopted stonesy walker told fa official media channel dave became regular fixture dinner table walker says welcome everyone agreed people really like cat love one rumoured jump air dave arrives bukayo saka john stones claims come moggy nonsense moniker good name took calling big dave four legged dinner guest started get bit greedy stray cats common sight around restaurants hotels host nation dave hearts england players also attention media questions week building quarter final france perhaps inspired drama game dave recently got little scrap another cat according walker fighting territory food well dave joins illustrious list famous animals carved special place hearts english public one already tweeted excitement impending arrival welcome dave x https co xfhtnlh dave left al wakrah two hours squad departed first head local vet blood test receive vaccinations spending four months quarantine heading new digs may coming home dave cat follow newsbeat twitter youtube listen newsbeat live weekdays listen back lgbt fan middle east pitchside photographer tiktok changing way see england arrive home tronger next time brutal england exit even painful,16
12,19,19,9 December 2022,seven day week life maid royal rich,human rights record scrutiny takes place doha lot written treatment migrant workers built stadiums hotels much less foreign maids work ruling classes paper rights strengthened recent years new rules always followed make contact gladys real name late night employers qatari elite gone bed brief online conversation tells works pm every day cleans helps prepare food looks children eats left family meals says day since started months ago madam crazy gladys filipina woman says employer shouts every day competition host foreign workers unable change jobs leave country without employer permission still like gulf states scrutiny began introduce reforms amnesty international says failed end pattern abuses faced domestic workers example gladys employer held passport preventing leaving without consent gladys still feels lucky least allowed keep phone says unlike foreign maids also physically abused happens often says another reason wants stay current job thinks unlikely age get better one earns rials month able send home support family joanna concepcion migrante international grassroots organisation supporting filipino overseas workers says many keep quiet bad working conditions earning money families overriding priority gulf states feel confident enough talk freely says often mention serious abuse one woman employer would push head toilet basin deny food water angry contrast maid employed ruling royal al thani family says treated well day workers new rules smiley animated althea real name video calls bbc basement royal residence explains employers given iphone clothes jewellery shoes kind could afford back home philippines gladys case difficulty earning living wage home brought speak filipino domestic workers share large room althea living quarters say hi join call bedrooms shared kitchen important maids althea sees tiktok facebook begging food pleading someone rescue fortunate see videos online time feel lucky says every day feels like fairy tale nonetheless hard work cinderella palaces refers high ceilings chandeliers antiques inlaid gold mother pearl table tops freshly cut flowers day generally begins staff prepare breakfast family althea eats family finished clearing away clean rooms set places lunch light work many us althea says maids rest flats pm pm prepare dinner dinner althea finished work free leave compound wants royal family hold passport althea work every day including weekends get day qatari law supposed guarantee price pays providing family vital financial support mary grace morales recruiter manila pairs filipino staff vips gulf says working palace enviable job family generous says comment reflecting hardships maids may faced home adds girls get fatter palace family feeds well royals specific requirements reveals girls sent work qatari royal family pretty ms morales says pauses look screen stare back bbc headquarters london prettier says smiling later sends whatsapp apologise children overheard rude assure offended mention hiring people basis looks would illegal many countries joanna concepcion migrante international says hopes althea account working royal maid true adds unlikely know certain still working powerful family royal staff complained leaving country three british american workers bodyguard personal trainer private tutor sued emir sister sheikha al mayassa bint hamad bin khalifa al thani husband new york alleging made work long hours without overtime couple denied allegations settled without admission liability reporting addressing cases violence harassment lack occupational safety health lack decent accommodation challenging says international labour organization ilo regional director arab states ruba jaradat ilo says working implement new rules guaranteeing minimum wage day week sick leave overtime payments although remains challenge althea royal palace says happy despite long hours goes bed message one siblings parents philippines often feels homesick fairytale palace home however remains crucial source income could never support family without job says bbc asked qatari royal family qatari embassy london comment received reply illustrations marta klawe rzeczy treat foreign workers afraid says qatari transgender woman families seek answers building deaths,19
13,20,20,"8 December 2022
8 December 2022",tournament chief criticised migrant worker death comments,chief executive criticised human rights groups saying death natural part life asked migrant worker death tournament governing body deeply saddened following death worker group stages interview reuters tournament boss nasser al khater disappointed journalists questions matter qatari official comment displays callous disregard migrant worker died human rights watch representative rothna begum statement deaths happen natural ignores truth many migrant worker deaths preventable filipino national fell death carrying repairs resort used training base saudi arabian athletic reported external link treatment migrant workers one main controversies overshadowing build tournament supreme committee worker working remit incident took place property jurisdiction matter investigated qatari authorities made aware accident touch local authorities request details something want talk right al khater mean death natural part life whether work whether sleep course worker died condolences go family however mean strange something want focus first question added look workers deaths big subject everything everything reflected workers deaths absolutely false theme negativity around something faced bit disappointed journalists exacerbating false narrative honestly think lot journalists ask reflect trying bang subject long ella knight amnesty international migrants labour rights researcher unfortunately mr al khater mistaken says every fatality investigated simply true others calling qatari authorities conduct investigations workers deaths years avail instead continue simply write vast numbers deaths due natural causes despite clear health risks associated working extreme temperatures goes without saying government investigating recent tragic case well deaths others every single family lost loved one result working conditions deserves answers remedy loss human rights organisations number associations whose countries involved tournament say continue press establish compensation fund migrant workers families well establishment migrant worker centre doha,20
14,22,22,7 December 2022,rafaelle tsakanika missing facts woman death coroner,coroner criticised qatari authorities lack information death year old beautician car crash rafaelle tsakanika cambridge toyota land cruiser struck behind speeding vehicle doha march driver mubarak al hajri sentenced two months prison area coroner cambridgeshire peterborough simon milburn documents provided accurate lack information doubt added source distress raffy family mr milburn added documents provide correct time location incident fact fullest information available entirely due limited assistance offered qatari authorities either full forensic investigation never carried results investigation never provided inquest peterborough town hall mr milburn concluded death result road traffic collision died severe traumatic injuries following crash al shamal road shortly midnight march speed camera clocked al hajri white vehicle travelling mph km h collision second camera clocked car mph km h afterwards ms tsakanika year old friend suffered serious injuries thrown car lost control overturned family previously described al hajri sentence teacher convicted causing death fleeing scene speeding pitiful mr milburn road camera images never provided apologised family providing answers wanted family moved construction specialist stepfather involved building stadiums ms tsakanika previously worked west end make artist horrendous three half years lives mother jo sullivan speaking inquest cannot believe way qataris treated us moment found raffy dead hospital mortuary one authority offering help us went missing stepfather donal sullivan called foreign secretary james cleverly meet family discuss going done foreign office spokesman provided support family woman died raised case qatari authorities senior level stand ready offer consular assistance appropriate bbc contacted government comment find bbc news east england facebook instagram twitter story suggestion email eastofenglandnews bbc co uk collating crash evidence like jigsaw family family grave concerns crash death,22
15,23,23,7 December 2022,rafaelle tsakanika missing facts woman death coroner,coroner criticised qatari authorities lack information death year old beautician car crash rafaelle tsakanika cambridge toyota land cruiser struck behind speeding vehicle doha march driver mubarak al hajri sentenced two months prison area coroner cambridgeshire peterborough simon milburn documents provided accurate lack information doubt added source distress raffy family mr milburn added documents provide correct time location incident fact fullest information available entirely due limited assistance offered qatari authorities either full forensic investigation never carried results investigation never provided inquest peterborough town hall mr milburn concluded death result road traffic collision died severe traumatic injuries following crash al shamal road shortly midnight march speed camera clocked al hajri white vehicle travelling mph km h collision second camera clocked car mph km h afterwards ms tsakanika year old friend suffered serious injuries thrown car lost control overturned family previously described al hajri sentence teacher convicted causing death fleeing scene speeding pitiful mr milburn road camera images never provided apologised family providing answers wanted family moved construction specialist stepfather involved building stadiums ms tsakanika previously worked west end make artist horrendous three half years lives mother jo sullivan speaking inquest cannot believe way qataris treated us moment found raffy dead hospital mortuary one authority offering help us went missing stepfather donal sullivan called foreign secretary james cleverly meet family discuss going done foreign office spokesman provided support family woman died raised case qatari authorities senior level stand ready offer consular assistance appropriate bbc contacted government comment find bbc news east england facebook instagram twitter story suggestion email eastofenglandnews bbc co uk collating crash evidence like jigsaw family family grave concerns crash death,23
16,24,24,"7 December 2022
7 December 2022",fixture schedule watch tv,bbc sport provides fixture tv information available follow live text commentary every game bbc sport website plus reports news analysis throughout tournament game argentina v croatia lusail iconic stadium lusail itv game france v morocco al bayt stadium al khor bbc one game losers game v losers game khalifa international stadium al rayyan bbc one game winners game v winners game lusail iconic stadium lusail bbc one match tv schedule subject change times gmt,24
17,25,25,"7 December 2022
7 December 2022",travelling found tournament,every day doha adhan echoes around city hearing islamic call prayer worshippers make way local mosque fajr dawn prayers time visitors climbing back beds left fan festival matches shown big screens concerts staged closes population fewer three million people mosques contrast culture brought country first major international tournament held muslim state middle east feels special seeing excitement smiles fan festival director mead al emadi told bbc sport welcomed people backgrounds cultures celebrate best seeing much people enjoying intangible legacy qatari woman loves working project past years delivering something beyond wildest dreams conservative country sharia law firmly entrenched constitution homosexuality illegal consumption alcohol prohibited public surrounded visitors around qataris stuck traditions beliefs men women children seen matches thobes abayas long robes face paint carrying scarves flags every stadium designated prayer rooms including media centres often packed time approaching next five daily prayers khalifa international stadium purpose built mosque within perimeter england first training session doha maghrib sunset adhan could heard one brazil game stadium imam seen wearing neymar shirt last group game al janoub group used uruguay flag prayer mat held probably would come says faizal travelled yorkshire father brother prayer facilities make easy us whether fan festival souq stadium lovely see tourists attending mosques genuine interest islam arab culture halal food must us would likely struggle countries access halal food wherever huge benefit us three stadiums also equipped sensory rooms external link giving access requirements opportunity experience game away large crowds loud music spent billions infrastructure tournament including stadiums multi lane motorways brand new metro system organisers consistently claimed three migrant workers died stadium sites fatalities stadium workers site due non work reasons disputed report alleging many migrant workers died late last month chief hassan al thawadi told talktv estimated migrant workers died result work connected however qatari officials quickly sought clarify figure saying estimate fatalities across industry sectors infrastructure sites linked tournament remote stadiums miles centre doha questions infrastructure would cope initial issue ticketing app day two causing issues hundreds going england games stadium access largely gone well stadiums walk minutes metro station hundreds staff hand point people towards venues shout metro way pointing giant foam fingers matches england fan ben lives doha attended first game al bayt stadium furthest outside city logistics around stadium smooth loads buses getting us ground metro loads buses get us back getting ground smooth queue long moved steadily inside minutes food water available concourse near us bit farce holly england fan travelled group stage really surprised ease get stadiums around city metro brilliant hardly wait another england supporter could get stadiums quite easily ones away quite difficult navigate longer term legacy tournament felt foreign returned home though brazilian man lived eight years told us construction metro system particular impact low crime rate pickpocketed mugged street unlikely security heavily bumped tournament plenty police officers patrolling metro stadiums japan supporter take felt much safer brazil eight years ago check bags everywhere went reflected experience nothing england fan mike like different brilliant went fan festival many around enjoying occasion obviously drinking trouble feels safe another england fan holly added concerns coming really enjoyed different atmosphere used england drink large groups made bit carnival atmosphere seen lots european south americans made build tournament unclear many supporters would travel atmosphere going like matches estimated one million made journey matches looked significantly undersubscribed indeed attendance group stage average stadium capacity external link majority games full colour passion noise would expect major tournament though others prompted people post social media felt flat artificial obvious difference compared previous tournaments reduction number european likes brazil argentina look represented everywhere go unusual see supporter wearing european shirt away stadiums germany fan met draw spain atmosphere european games disappointing huge contrast tournament homeland fan parks every day corniche many supporters impressed atmosphere stadiums though brazil fan dulce lived doha five years saying good ever really loved told brazil come south america argentina usual listen noise could anywhere noise loud good excited happen later speaking supporters chosen travel course many stayed away decision stage country homosexuality illegal heavily criticised organisers always maintained visitors would welcome regardless race religion gender sexuality also expected laws culture respected many lgbtq received assurances safety needed days kicked fan group leaving behind lgbt supporters gay fan wrote diary bbc news although never felt concerned safety locals consider gay part equation transgender qatari woman also told bbc news afraid want people know exist bbc news journalist shaimaa khalil wrote doha feel like two parallel universes comes controversies around advocates activists european teams especially seven captains intended wear one love armband lgbt human rights issue want remain vocal hosts spectators come watching around arab vast muslim majority religion culture norms region mostly respect feel getting alcohol cannot consumed public ordinarily available purchase certain hotels licence two days start tournament changed policy decided alcohol would sold eight stadiums tournament mainly trouble free apart incident appeared show fight argentina mexico supporters msheireb downtown area doha number restaurants al fresco dining spoke fan scotland shirt two friends enjoying soft drink asked felt without alcohol easily accessible problem fact made us feel bit better ecuador fan lives saudi arabia drink alcohol home country big way life admitted hard weeks moved adjust drinking alcohol parties used alternative coffee like beer people lining ages coffee get latest results goal notifications downloading bbc sport app appleexternal link androidexternal link amazonexternal link get daily dose reaction debate analysis daily bbc sounds,25
18,26,26,"6 December 2022
6 December 2022",fixture schedule watch tv,bbc sport provides fixture tv information available follow live text commentary every game bbc sport website plus reports news analysis throughout tournament times gmt game morocco v spain education city stadium al rayyan itv game portugal v switzerland lusail iconic stadium itv game croatia v brazil education city stadium al rayyan game netherlands v argentina lusail iconic stadium lusail game winners game v winners game al thumama stadium doha game england v france al bayt stadium al khor itv game winners game v winners game lusail iconic stadium lusail game winners game v winners game al bayt stadium al khor game losers game v losers game khalifa international stadium al rayyan bbc one game winners game v winners game lusail iconic stadium lusail bbc one match tv schedule subject change times gmt,26
19,27,27,6 December 2022,ipswich town fan lowestoft flag wars,fan whose flag draped behind goal england win senegal described fend army people secure slot bob green lowestoft suffolk friendly flag wars feature pre match build taken flag featuring hometown ipswich town badge england game attracted local interest often explain lowestoft show map flag visible tv audiences around bukayo saka scored th minute england victory sunday night flag also features england three lions badge names two pubs lowestoft flying dutchman blues bar ipswich town season ticket holder wanted get venues bit international exposure tough times pubs wanted little bit help lot interest games locally really embraced whenever hanging people ask branding want picture taken former raf serviceman mr green explained getting flag good visible locations like military operation first person stadium get good spot get cannot get sunday got kick whole army people trying get flags good spot well like flag wars get prime position ask press photographers behind goals get pictures flags us least get decent shot good fun mr green would stay long england remained tournament member england travel club conditional tickets quarter final semi final final everybody good gold whole tournament really really well run walk stadium like walking hotel helpers absolutely everywhere came lot reservations apprehension going absolutely brilliant england face france quarter final saturday find bbc news east england facebook instagram twitter story suggestion email eastofenglandnews bbc co uk qatari security know dereham town baby named footballer liked tweet,27
