"names","values"
"allegation",140.73208723135
"charge",41.6269508833066
"fifa",31.5520702324939
"scandal",29.469066391408
"wake",23.5263115854905
"world",22.0725496021987
"level",19.5877520684953
"suspension",15.0530374414957
"award",13.7290238157511
"cup",13.4845843113362
"govern",13.0827453340389
"body",12.2317997116843
"teixeira",10.6517067719251
"qatar",10.6409726190395
"december",10.2416899699383
"surround",10.2314818054656
"attorney",9.44844300256227
"disgrace",8.16940402754699
"sery",7.91515567437455
"vote",7.7243148310663
"collusion",7.66654306639248
"leave",7.51310578233097
"blatter",7.33350541330583
"decide",7.22421601684619
"indictment",7.20549500282505
"prove",6.88575465807662
"crisis",6.82284982670535
"plead",6.82284982670535
"oversee",6.82284982670535
"half",6.82284982670535
"handle",6.82284982670535
"ahead",6.78076449970104
"appoint",6.78076449970104
"set",6.57843378109828
"investigation",6.4348160390582
"district",6.38787887684157
"justice",6.24415805545141
"leoz",6.24415805545141
"delegate",6.24415805545141
"organisation",6.23482114532089
"allege",6.05771849799203
"relation",6.02314809335076
"exco",6.00788953341544
"bribery",5.78935759828892
"back",5.7453965775785
"mark",5.73408642849245
"year",5.73099955191719
"rerun",5.68349150849099
"payment",5.57387390283111
"guilty",5.36631022702204
"department",5.27987091431714
"implicate",5.27987091431714
"damage",5.27987091431714
"ban",5.25635633031925
"government",4.79083474070649
"begin",4.79083474070649
"lead",4.63275959196471
"investigate",4.62019664722175
"ricardo",4.5033068722696
"monday",4.5033068722696
"require",4.5033068722696
"reform",4.29832761403668
"accuse",4.28244638958131
"presidential",4.28244638958131
"deny",3.98587216850137
"man",3.83033866980259
"president",3.65542652802833
"race",3.62269685725187
"reach",3.58073669802252
"part",3.42711794056231
"accord",3.42613182638888
"tournament",3.40865804650821
"send",3.32202795160265
"fraud",3.32202795160265
"examine",3.32202795160265
"follow",3.28986232328316
"evidence",3.25443615448603
"host",3.21402714462602
"march",3.08312355471571
"cooperate",3.08312355471571
"chamber",3.06443043584295
"public",3.04177277487179
"chuck",2.99290280839341
"money-laundering",2.99290280839341
"qatari",2.91779932257487
"chief",2.89549482699658
"fail",2.86192712647608
"warner",2.8543899671713
"russia",2.84777111435687
"sepp",2.80918257004669
"central",2.66560884839419
"significant",2.66560884839419
"late",2.59104744530487
"hans-joachim",2.58477237547049
"money",2.48630444860464
"high",2.46579822302738
"work",2.41582629275217
"michael",2.40643022706354
"southern",2.37896190617175
"gulf",2.28802935127169
"witness",2.28802935127169
"football",2.21531478456745
"case",2.19446785003674
"york",2.17329982035153
"bribe",2.15086423575121
"team",2.13842300078977
"controversy",2.12582428400492
"ground",2.12582428400492
"chaotic",2.12582428400492
"caribbean",2.12221191603749
"statement",2.07026170955942
"head",2.01439989197388
"england",2.00260311610327
"announce",1.96734835881216
"blazer",1.96734835881216
"press",1.96734835881216
"fbi",1.93078194436384
"german",1.93078194436384
"judge",1.93078194436384
"gather",1.90079265457462
"chair",1.82256151601177
"zwanziger",1.82256151601177
"refer",1.69967706473835
"credibility",1.69967706473835
"refuse",1.69967706473835
"parliamentary",1.69967706473835
"football's",1.69967706473835
"involve",1.68718497534428
"face",1.68707597176399
"valcke",1.68707597176399
"swiss",1.67238495709171
"controversial",1.60829863717663
"detail",1.60829863717663
"qatar's",1.60829863717663
"member",1.58447647834691
"legacy",1.51916226401954
"privilege",1.51916226401954
"american",1.44132757649641
"fa",1.35724824693898
"uk",1.35657967739098
"son",1.35657967739098
"november",1.3298991939082
"congress",1.3298991939082
"court",1.32917997361801
"chairman",1.29625746174133
"claim",1.27708890486974
"confirm",1.24475943054858
"rule",1.22736191884906
"act",1.22542220860487
"broadcast",1.20974924382608
"42-page",1.20974924382608
"deal",1.16433339147625
"adjudicatory",1.1274492196826
"confederation",1.08773124164145
"risk",1.07686688402464
"criminal",1.07686688402464
"federation",1.07686688402464
"story",1.07686688402464
"presidency",1.07686688402464
"cash",1.0355749164446
"office",1.0355749164446
"vice-president",1.0355749164446
"successful",0.956422643743281
"unite",0.956422643743281
"strip",0.956422643743281
"issue",0.949430955661228
"people",0.945369283377659
"long",0.879318787003285
"authority",0.847139987439732
"governance",0.847139987439732
"david",0.847139987439732
"company",0.837265874011791
"move",0.793019957440265
"concacaf",0.793019957440265
"hope",0.747929999866756
"matt",0.747929999866756
"time",0.725377997048781
"information",0.680678468110273
"today",0.657856304664165
"winter",0.657856304664165
"beckenbauer",0.657856304664165
"inquiry",0.655857768382702
"independent",0.655857768382702
"relate",0.655857768382702
"investigator",0.655857768382702
"remain",0.630703781280317
"mr",0.630703781280317
"ethic",0.60934447850741
"call",0.603528058498341
"win",0.603528058498341
"executive",0.591781342758622
"term",0.581926675862633
"step",0.576107822736958
"deliver",0.576107822736958
"numb",0.576107822736958
