"names","values"
"wear",321.357944126801
"captain",98.0989615117178
"onelove",84.3426573029283
"fifa",73.5191852191238
"kane",43.8882740782101
"england",36.9304024348221
"rainbow",35.7397767121711
"wale",31.6815030925882
"sanction",26.9879712458733
"plan",26.453017493759
"message",26.338886206202
"clear",23.7471424462037
"face",22.7448926181896
"nation",19.9935483438585
"govern",19.3388833668523
"promote",18.3288497653284
"sport",17.9176410495784
"body",17.6022892448036
"september",17.6022892448036
"back",16.0716503352905
"harry",15.9838094366478
"book",15.9838094366478
"bring",14.4130978915509
"denmark",13.6885420416129
"european",13.4678522809791
"world",13.453369098348
"community",12.2328610349341
"netherlands",10.9695156177859
"lgbtq",9.8927985616574
"regulation",9.83060359374758
"iran",9.7314355664621
"discrimination",9.71855223721104
"gareth",8.4792074559391
"cup",8.41486600996177
"campaign",8.18258797389171
"fine",7.99791236547753
"association",7.99791236547753
"germany",7.52889770932779
"national",7.34887665200222
"response",7.34887665200222
"write",7.34887665200222
"ban",7.20922794987564
"field",6.38700525034983
"federation",6.38344049243824
"hour",6.10509406411256
"receive",6.10509406411256
"threat",6.01182531959603
"feel",5.96519898016959
"fan",5.96519898016959
"human",5.66025804748642
"team",5.48397699927591
"leave",5.33656912919832
"relationship",5.15907486477408
"guardian",4.76174082679427
"fa",4.35425515484894
"decision",4.11394346464112
"match",4.0977350808389
"gesture",3.69380475824255
"support",3.64603921275557
"football",3.62410747963622
"work",3.32965341351337
"frustrate",3.2016578719431
"lloris",3.2016578719431
"don",3.05526912699133
"protest",2.72648726308034
"today",2.63324683981773
"inclusion",2.62310610780514
"social",2.62310610780514
"love",2.5092330652551
"monday",2.5092330652551
"game",2.47317602373369
"qatar",2.46164051935375
"start",2.34123176963658
"country",2.23887061361347
"bbc",2.19515855388272
"decide",2.0898041451328
"card",1.99934748642772
"late",1.82463232492773
"thing",1.76495368681753
"international",1.76495368681753
"yellow",1.69605648616562
"force",1.6706331871701
"discussion",1.52742146138007
"concern",1.32057951019124
"league",1.32057951019124
"competition",1.15501793613475
"migrant",1.01153926965708
"include",0.980501370921047
"supporter",0.87267268270989
"hope",0.87267268270989
"watch",0.87267268270989
"player",0.867082667629802
"continue",0.835930835854015
"organisation",0.835930835854015
"unite",0.835930835854015
"france",0.835930835854015
"prepare",0.785126554352246
"report",0.754313500579883
"place",0.67870406912698
"give",0.623236030927728
"point",0.585864653014141
"part",0.585864653014141
"knee",0.585864653014141
"morning",0.585864653014141
"worker",0.501877879023596
"disappoint",0.500388304941225
"surround",0.500388304941225
"lgbt",0.500388304941225
"focus",0.500388304941225
"open",0.456885736986806
"stand",0.411670656761999
"qatari",0.392056403657989
"treatment",0.392056403657989
"line",0.392056403657989
"issue",0.362420209479751
"gay",0.340780174576139
"ve",0.302437200985878
"win",0.294110768254541
"group",0.291518508096487
"president",0.245021965101841
"make",0.156430211713086
"situation",0.13751656318891
"speak",0.130767234764789
"live",0.109657899176455
"action",0.109657899176455
"day",0.109657899176455
"culture",0.0911352819439344
"daily",0.0911352819439344
"evening",0.0911352819439344
"guardian's",0.0911352819439344
"gianni",0.0911352819439344
"question",0.0911352819439344
"pay",0.0911352819439344
"announce",0.0911352819439344
"put",0.0891252783458185
"tournament",0.0891252783458185
"host",0.0638785303726763
"sign",0.0476114044959104
"southgate",0.0476114044959104
"coach",0.0476114044959104
"dfb",0.0476114044959104
"people",0.0399785787649307
"show",0.039104027691792
"respect",0.0253807037061051
"newsletter",0.0253807037061051
"promotion",0.0253807037061051
"pitch",0.0200645533896022
"position",0.0170071310476487
"medium",0.0170071310476487
"play",0.0144837891275529
"statement",0.0105329497655475
"talk",0.00988821853934496
"stadium",0.00515442628238816
"infantino",0.00102276297548087
"kick",0.000677229472785257
"change",0.000677229472785257
"css-14ukgk6",0.000677229472785257
"height",0.000677229472785257
"1em",0.000677229472785257
"width",0.000677229472785257
"1.5em",0.000677229472785257
"margin-right",0.000677229472785257
"3px",0.000677229472785257
"vertical-align:baseline",0.000677229472785257
"fill:#0077b6",0.000677229472785257
"symbol",NA
"add",NA
"law",NA
"lot",NA
"year",NA
"tolerance",NA
"time",NA
"abuse",NA
"good",NA
"journalism",NA
"home",NA
"page",NA
"happen",NA
"hand",NA
"club",NA
"red",NA
