,Entity Name,Entity Type,Frequency
26,faw,ORG,24
27,supreme committee,ORG,22
34,al jazeera,media outlet,18
35,mark drakeford,PERSON,18
43,drakeford,PERSON,16
63,james cleverly,PERSON,13
70,itv,media outlet,11
72,noel mooney,PERSON,10
73,gary neville,PERSON,10
86,laura mcallister,PERSON,8
87,neville,PERSON,8
88,english,LANGUAGE,8
89,hassan al,PERSON,8
90,eastofenglandnews bbc,media outlet,8
91,bin hamad al thani,PERSON,8
101,bbc sport,media outlet,7
104,bbc news,media outlet,7
108,islamic sharia,WORK_OF_ART,7
110,donald trump,PERSON,7
112,gianni infantino,PERSON,7
