"names","values"
"fan",24.6125638129652
"foreign",15.915031104174
"supporter",15.4686645524707
"lgbtq",14.8710891373703
"concern",12.3505698642875
"england",8.27260767588086
"qatari",8.11099519498748
"lgbt",8.07357403989226
"qatar",7.91474334658233
"safety",7.24350712975138
"cup",6.98817364441493
"respect",6.52605186428627
"attend",6.31017273035832
"host",6.25161117651442
"tournament",6.08834610030135
"individual",5.8816712567168
"return",5.8816712567168
"secretary",5.8816712567168
"people",5.75316311021925
"country",5.62827384579577
"russia",5.53499686943906
"give",5.36754871956873
"authority",5.04298395712613
"organisation",4.93675560881093
"world",4.52953688825801
"law",4.20489662692125
"group",3.73620045505595
"raise",3.46267348977563
"place",3.46267348977563
"committee",3.15321715560276
"day",2.8771436889765
"woman",2.8771436889765
"public",2.10655606279397
"make",1.90209754849639
"broadcast",1.7865721885355
"threaten",1.7865721885355
"due",1.7865721885355
"experience",1.7865721885355
"gulf",1.62357626355879
"set",1.62357626355879
"ban",1.62357626355879
"accord",1.62357626355879
"past",1.62357626355879
"risk",1.47887589457605
"free",1.47887589457605
"relationship",1.47887589457605
"report",1.35277399876941
"hope",1.34941525465911
"focus",1.34941525465911
"bring",1.34941525465911
"president",1.34941525465911
"great",1.34941525465911
"clear",1.34941525465911
"compromise",1.34941525465911
"pride",1.23284691693698
"promote",1.23284691693698
"decision",1.23284691693698
"club",1.23284691693698
"claim",1.12732842890182
"newsletter",1.03138706655227
"supreme",1.03138706655227
"member",1.03138706655227
"culture",1.03138706655227
"sign",0.943827053008135
"promotion",0.943827053008135
"same-sex",0.943827053008135
"gay",0.837743686835893
"fifa",0.834007316336283
"ensure",0.790078648180497
"player",0.721410967251359
"journalism",0.659982990451681
"watch",0.659982990451681
"year",0.658489779067168
"wale",0.602384023135528
"feel",0.602384023135528
"international",0.549149638492963
"illegal",0.549149638492963
"man",0.549149638492963
"action",0.549149638492963
"human",0.516616416749457
"live",0.499902670235315
"cleverly",0.499902670235315
"flag",0.412090806596098
"game",0.336749027170299
"stadium",0.303197667468339
"safe",0.303197667468339
"month",0.272142120935314
"state",0.243418039692187
"good",0.192384496553132
"support",0.0398655369499465
"guardian",0.00743151614733506
"football",0.00401956165478623
"sport",0.00202928445651196
"rainbow",0.000217188437090954
"brand",NA
"record",NA
"protest",NA
"back",NA
"kick",NA
"criticism",NA
"open",NA
"captain",NA
"david",NA
"beckham",NA
"face",NA
"deal",NA
"ambassador",NA
"team",NA
"australia",NA
"post",NA
"video",NA
"treatment",NA
"migrant",NA
"worker",NA
"plan",NA
"govern",NA
"body",NA
"wear",NA
"armband",NA
"match",NA
"uk",NA
"big",NA
"event",NA
"happen",NA
"advertise",NA
"medium",NA
"show",NA
"official",NA
"release",NA
"community",NA
"award",NA
"top",NA
"campaign",NA
"social",NA
"executive",NA
"highlight",NA
"expect",NA
"stand",NA
"charity",NA
"find",NA
"address",NA
"issue",NA
"association",NA
"matt",NA
"line",NA
"police",NA
"leave",NA
"approach",NA
"question",NA
"staff",NA
"play",NA
"message",NA
"today",NA
"work",NA
"point",NA
"global",NA
"long",NA
"act",NA
"hold",NA
"call",NA
"chief",NA
"time",NA
"thing",NA
"hand",NA
"change",NA
"suggest",NA
"homosexuality",NA
"cavallo",NA
"footballer",NA
"add",NA
"doesn",NA
"pay",NA
"start",NA
"sunday",NA
"surround",NA
"corruption",NA
"abuse",NA
"discriminatory",NA
"dedicate",NA
"home",NA
"page",NA
"pitch",NA
"lot",NA
"talk",NA
"important",NA
"daily",NA
"penalty",NA
"shirt",NA
"follow",NA
"security",NA
"understand",NA
"include",NA
"hat",NA
"describe",NA
"faw",NA
"organiser",NA
"bucket",NA
"nation",NA
"inclusive",NA
"disappoint",NA
"receive",NA
"display",NA
"statement",NA
"urge",NA
"continue",NA
"regime",NA
"love",NA
"week",NA
"national",NA
"case",NA
"warn",NA
"speak",NA
"don",NA
"fa",NA
"information",NA
"council",NA
"comment",NA
"australian",NA
"criticise",NA
"remain",NA
"european",NA
"fear",NA
"identity",NA
"write",NA
"ally",NA
"put",NA
"position",NA
"socceroos",NA
"professional",NA
"ve",NA
"final",NA
"stop",NA
"attention",NA
"end",NA
"platform",NA
"discrimination",NA
"lycett",NA
"cash",NA
"part",NA
"fact",NA
"money",NA
"role",NA
"november",NA
"amnesty",NA
"hitzlsperger",NA
"premier",NA
"league",NA
"life",NA
"government",NA
"letter",NA
"boycott",NA
"person",NA
"local",NA
"hrw",NA
"document",NA
"sexual",NA
"orientation",NA
"gender",NA
"resident",NA
"commit",NA
"legacy",NA
"affection",NA
"bank",NA
"fund",NA
"couple",NA
"read",NA
"hotel",NA
"irvine",NA
"term",NA
"deposit",NA
"qnb",NA
"investment",NA
